source,activityType,projectId,entityId,entityLabel,userId,userName,email,userKey,timestamp,details
legacy,error_report_created,342,342-2,,,,,legacy:,2025-12-11 12:49:01,"{""idTRecord"": ""342-2"", ""idProy"": ""342"", ""idDoctoBase"": ""342-1"", ""versionDoctoBase"": 1, ""fecha_hora"": ""2025-12-11T12:49:01""}"
legacy,error_report_created,345,345-9,,,,,legacy:,2026-01-22 10:06:07,"{""idTRecord"": ""345-9"", ""idProy"": ""345"", ""idDoctoBase"": ""345-3"", ""versionDoctoBase"": 1, ""fecha_hora"": ""2026-01-22T10:06:07""}"
legacy,error_report_created,345,345-17,,,,,legacy:,2026-01-23 09:25:35,"{""idTRecord"": ""345-17"", ""idProy"": ""345"", ""idDoctoBase"": ""345-1"", ""versionDoctoBase"": 1, ""fecha_hora"": ""2026-01-23T09:25:35""}"
legacy,error_report_created,345,345-22,,,,,legacy:,2026-01-24 11:01:21,"{""idTRecord"": ""345-22"", ""idProy"": ""345"", ""idDoctoBase"": ""345-1"", ""versionDoctoBase"": 2, ""fecha_hora"": ""2026-01-24T11:01:21""}"
legacy,error_report_created,345,345-27,,,,,legacy:,2026-01-31 09:14:08,"{""idTRecord"": ""345-27"", ""idProy"": ""345"", ""idDoctoBase"": ""345-8"", ""versionDoctoBase"": 1, ""fecha_hora"": ""2026-01-31T09:14:08""}"
legacy,error_report_created,345,345-28,,,,,legacy:,2026-01-31 12:44:16,"{""idTRecord"": ""345-28"", ""idProy"": ""345"", ""idDoctoBase"": ""345-8"", ""versionDoctoBase"": 1, ""fecha_hora"": ""2026-01-31T12:44:16""}"
legacy,error_report_created,345,345-30,,,,,legacy:,2026-02-02 22:33:16,"{""idTRecord"": ""345-30"", ""idProy"": ""345"", ""idDoctoBase"": ""345-2"", ""versionDoctoBase"": 1, ""fecha_hora"": ""2026-02-02T22:33:16""}"
legacy,error_report_created,345,345-31,,,,,legacy:,2026-02-03 08:25:14,"{""idTRecord"": ""345-31"", ""idProy"": ""345"", ""idDoctoBase"": ""345-13"", ""versionDoctoBase"": 1, ""fecha_hora"": ""2026-02-03T08:25:14""}"
legacy,error_report_created,345,345-32,,,,,legacy:,2026-02-03 08:26:46,"{""idTRecord"": ""345-32"", ""idProy"": ""345"", ""idDoctoBase"": ""345-13"", ""versionDoctoBase"": 1, ""fecha_hora"": ""2026-02-03T08:26:46""}"
legacy,error_report_created,345,345-37,,,,,legacy:,2026-02-20 09:29:32,"{""idTRecord"": ""345-37"", ""idProy"": ""345"", ""idDoctoBase"": ""345-24"", ""versionDoctoBase"": 1, ""fecha_hora"": ""2026-02-20T09:29:32""}"
legacy,error_report_created,345,345-40,,,,,legacy:,2026-02-24 14:41:13,"{""idTRecord"": ""345-40"", ""idProy"": ""345"", ""idDoctoBase"": ""345-34"", ""versionDoctoBase"": 1, ""fecha_hora"": ""2026-02-24T14:41:13""}"
legacy,error_report_created,345,345-42,,,,,legacy:,2026-02-27 08:46:22,"{""idTRecord"": ""345-42"", ""idProy"": ""345"", ""idDoctoBase"": ""345-36"", ""versionDoctoBase"": 1, ""fecha_hora"": ""2026-02-27T08:46:22""}"
legacy,error_report_created,345,345-43,,,,,legacy:,2026-03-01 10:23:24,"{""idTRecord"": ""345-43"", ""idProy"": ""345"", ""idDoctoBase"": ""345-34"", ""versionDoctoBase"": 2, ""fecha_hora"": ""2026-03-01T10:23:24""}"
legacy,error_report_created,345,345-48,,,,,legacy:,2026-03-06 08:31:38,"{""idTRecord"": ""345-48"", ""idProy"": ""345"", ""idDoctoBase"": ""345-24"", ""versionDoctoBase"": 1, ""fecha_hora"": ""2026-03-06T08:31:38""}"
